GENE	H3k27ac_16_DMSO_compare_TSS_SIGNAL	H3k27ac_16_DMSO_compare_DISTAL_SIGNAL
ANKRD46	1397.6735999999999	19289.512
ANKRD49	4656.9408	1340.369
ANKRD5	2138.8625	1275.8616
ANKRD50	3515.07	2878.5494000000003
ANKRD52	4110.5560000000005	10695.8679
ANKRD53	548.5008	7344.424
ANKRD54	2945.7792000000004	2681.7472000000002
ANKRD55	0.0	84348.4919
ANKRD56	1625.6625	6124.0316
ANKRD57	6006.4366	15170.690499999999
ANKRD58	769.0854000000002	19843.7671
ANKRD6	0.0	49149.310999999994
ANKRD7	0.0	1118.9866
ANKRD9	321.53679999999997	213.3364
ANKS1A	1974.5007	853.0702
ANKS3	1906.1528	4751.994500000001
ANKZF1	5234.478399999999	6220.253699999999
ANLN	4932.4059	2351.3446
ANO10	1787.0699000000002	1273.3644000000002
ANO3	0.0	1068.3376
ANO4	491.3632	901.6411999999999
ANO5	2048.9404	0.0
ANO6	7010.750400000001	3954.1752
ANO7	0.0	435.312
ANO8	0.0	10550.897200000001
ANO9	0.0	1924.1623
ANP32A	7172.799999999999	26269.4888
ANP32B	8575.4	11296.9496
ANP32C	0.0	632.5794
ANP32E	21062.5434	21089.874800000005
ANPEP	0.0	34496.3777
ANTXR2	1690.7466	3770.9327999999996
ANUBL1	3194.3748	3592.4993999999997
ANXA1	0.0	7516.4416
ANXA10	0.0	1589.376
ANXA11	7801.74	49124.7003
ANXA13	0.0	15062.132399999999
ANXA2	4526.0	5037.723199999999
ANXA2P1	0.0	3068.208
ANXA2P2	0.0	6976.160400000001
ANXA3	0.0	1376.6862
ANXA4	2202.031	6063.513400000001
ANXA5	3563.5332000000003	12.3435
ANXA6	13708.490000000002	55859.0413
ANXA7	6446.8112	1561.4822
ANXA8	0.0	0.0
ANXA8L1	0.0	0.0
ANXA9	0.0	14664.4755
AOC2	0.0	7632.668600000001
AOC3	0.0	7632.668600000001
AOX1	0.0	0.0
AOX2P	0.0	3350.5084
AP1AR	6776.2	5700.5644
AP1B1	2494.0373999999997	4738.0187
AP1G1	16229.399999999998	28576.768699999997
AP1G2	1553.2023	699.779
AP1M1	1853.4782	80354.25259999999
AP1M2	0.0	5713.8342
AP1S1	0.0	1578.1007
AP1S2	7738.8	7737.5886
AP1S3	3766.6479	5911.7428
AP2A1	2376.5496000000003	9334.8499
AP2A2	1670.7459999999999	3948.7923
AP2B1	4522.4193000000005	3753.6112000000007
AP2M1	2806.6324	1170.0153
AP2S1	1900.1256	6744.178899999999
AP3B1	3698.0746	1263.3769
AP3B2	0.0	5444.6590000000015
AP3D1	3298.0	137276.79209999996
AP3M1	8230.0684	7603.649799999999
AP3M2	2621.0	1057.0265
AP3S1	4359.955	46.038199999999996
AP3S2	7474.7196	4294.9845000000005
AP4B1	3477.9869	10377.284
AP4E1	5435.8686	4246.2977
AP4M1	9535.6239	1237.5764000000001
AP4S1	5070.340700000001	402.9456
APAF1	1761.1694	368.1728
APBA1	0.0	1244.5548999999999
APBA2	0.0	3867.8311999999996
APBA3	11239.9797	1517.5484000000001
APBB1	0.0	65.8598
APBB1IP	4473.4	5618.170899999999
APBB2	826.8106	10537.3168
APBB3	5422.238	4387.874500000001
APC	3590.8236	1743.5591
APC2	0.0	6532.7066
APCDD1	0.0	914.0006
APEH	5600.5154999999995	1117.8727
APEX1	5727.8924	2383.2139
APEX2	3443.367	0.0
APH1A	10522.0458	7032.814400000001
APH1B	0.0	4866.3516
API5	2813.6324000000004	276.2298
APIP	7678.4255	12614.934399999998
APITD1	3409.9929	5768.655000000001
APITD1-CORT	3409.9929	5768.655000000001
APLF	6285.6654	16303.085999999998
APLN	0.0	506.88
APLNR	0.0	1280.0521
APLP1	0.0	872.0138000000001
APLP2	2298.8	6277.1949
