To,From,type
RRP12,CEBPZ,PPI
RPF1,CEBPZ,PPI
DDX55,CEBPZ,PPI
RSL1D1,CEBPZ,PPI
IMPDH2,CEBPZ,PPI
GNL3,CEBPZ,PPI
TTC4,CEBPZ,PPI
SDAD1,CEBPZ,PPI
PES1,CEBPZ,PPI
DDX51,CEBPZ,PPI
POLR1B,CEBPZ,PPI
DDX24,CEBPZ,PPI
DDX27,CEBPZ,PPI
DDX21,CEBPZ,PPI
NOP2,CEBPZ,PPI
ILF3,CEBPZ,PPI
EIF4A1,CEBPZ,PPI
TADA2B,CEBPZ,PPI
RELA,CEBPZ,PPI
DDX51,ENO1,PPI
DDX46,ENO1,PPI
KIF14,ENO1,PPI
YWHAZ,ENO1,PPI
PPIA,ENO1,PPI
DDX55,ENO1,PPI
DDX20,ENO1,PPI
ALDOA,ENO1,PPI
TCF3,ENO1,PPI
DDX59,ENO1,PPI
DDX3X,ENO1,PPI
PPIAL4G,ENO1,PPI
EIF4A1,ENO1,PPI
CFL1,ENO1,PPI
