CTRL KMS12BM	CTRL MM1R	LOG2_FOLD_CHANGE	P_VALUE
ADCK2	55.8772970333333	58.0356176433333	0.0546763488658784	0.502360119603308
ADCK3	150.783804633333	118.179695666667	-0.351499291294189	0.00433651230041643
ADCK4	16.5098818133333	18.4170012866667	0.157708383768563	0.0222921759991109
ADCK5	55.45837986	26.23646124	-1.07983232751452	0.000179050169456323
ADCY1	0.076900129	8.77087421333333	6.83359081805469	0.00290355698790045
ADCY3	42.7087364533333	110.091619766667	1.36610153306158	0.00299681044216991
ADCY6	4.14558830266667	17.90918373	2.11105082825545	0.00574796432418141
ADCY7	28.6297186233333	71.90892727	1.32865739648312	0.00325383650331934
ADD1	66.36132622	91.2724063966667	0.459836049914627	0.00412989084630579
ADD3	78.1024602766667	38.6749153166667	-1.01396986215991	1.32813381260566e-05
ADH5	84.9131855166667	24.57080538	-1.78904344918642	6.2510498796047e-07
ADI1	118.417222066667	240.905362066667	1.02458759012523	5.4655463895715e-06
ADIPOR1	105.380366933333	195.955948233333	0.89492325826122	3.99111216836851e-05
ADIPOR2	90.8509381333333	81.22826177	-0.161519639899013	0.0842433251608098
ADK	28.1259804466667	30.9737652	0.139143380765113	0.209216375310462
ADM	10.5811085163333	269.819906433333	4.67243410696347	2.23976181443807e-05
ADM2	0.192561987333333	1.64282534433333	3.09278426803879	0.00111946290524766
ADM5	10.74764439	0.785889588	-3.77355004407579	0.0019880614881492
ADNP	64.5613295433333	53.28574149	-0.276920749194736	0.0269105066437279
ADNP2	34.5355158466667	14.9222390866667	-1.21061674423417	0.000174785887800569
ADO	24.82952762	26.7177615233333	0.105742325898931	0.206151037679032
ADORA2A	1.47248415566667	4.270230014	1.53606167170683	0.0138525400128654
ADORA2A-AS1	1.14241311033333	3.16230364033333	1.46889145912827	0.0184062905088073
ADORA2B	4.36238726333333	0.339839437333333	-3.68219266068145	0.00383381796793953
ADPGK	65.05717376	103.813709233333	0.674216918240923	8.16529384176536e-05
ADPRH	5.865142529	1.44159029166667	-2.02450496713054	0.00113036098772619
ADPRHL2	27.3156023566667	55.8622522	1.03214850263893	0.00123905656821393
ADPRM	3.39543135333333	5.581291912	0.717004238880915	0.00918641631092665
ADRBK1	411.651786033333	283.554484533333	-0.537798512210223	0.00100965141337016
ADRM1	367.358233266667	392.2195126	0.0944737014139665	0.0757018184398777
ADSL	156.9159595	172.2217463	0.134275229768747	0.0103357146196344
